DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\pandas\core\dtypes\generic.py first seen with mtime 1731399519.7862904
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\pandas\io\pickle.py first seen with mtime 1731399519.8562675
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\asyncio\tasks.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\bz2.py first seen with mtime 1725636674.0
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\urllib3\response.py first seen with mtime 1730532044.7975297
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1730979580.8180673
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\django\core\files\storage\base.py first seen with mtime 1730979580.6921537
DEBUG 2024-11-29 17:47:44,536 autoreload File C:\Python312\Lib\site-packages\django\contrib\messages\apps.py first seen with mtime 1730979580.313141
DEBUG 2024-11-29 17:47:44,540 autoreload File C:\Python312\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1730979579.6859384
DEBUG 2024-11-29 17:47:44,540 autoreload File C:\Python312\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1730979579.6849384
DEBUG 2024-11-29 17:47:44,540 autoreload File C:\Python312\Lib\site-packages\anyio\_core\_synchronization.py first seen with mtime 1731399199.1998293
DEBUG 2024-11-29 17:47:44,540 autoreload File C:\Python312\Lib\site-packages\pandas\core\arrays\sparse\accessor.py first seen with mtime 1731399519.7569191
